Grapheme	Zhou	Baxter
^tsu˩˥	^ts-.-u-.-˩˥	ts-.-u-.-H
^tsɑk	^ts-.-ɑ-k-.	ts-.-a-k-.
^bʰuɒi˩˥	^bʰ-u-ɒi-.-˩˥	b-w-oj-.-H
^kai˥˩	^k-.-ai-.-˥˩	k-.-ɛ-.-.
^lɒi˩	^l-.-ɒi-.-˩	l-.-oj-.-.
^tɕʰĭe˥	^tɕʰ-ĭ-e-.-˥	tsyh-.-e-.-X
^ʔĭəi˥˩	^ʔ-ĭ-əi-.-˥˩	ʔ-j-ɨj-.-.
^ɣəu˩	^ɣ-.-əu-.-˩	h-.-uw-.-.
^bʰĭɛn˩˥	^bʰ-ĭ-ɛ-n-˩˥	b-ji-e-n-H
^bʰĭɛn˩	^bʰ-ĭ-ɛ-n-˩	b-ji-e-n-.
^jĭu˩	^j-ĭ-u-.-˩	y-.-u-.-.
^dʐʰĭə˥	^dʐʰ-ĭ-ə-.-˥	zr-.-i-.-X
^kĭu˥˩	^k-ĭ-u-.-˥˩	k-j-u-.-.
^tsʰɑŋ˥˩	^tsʰ-.-ɑ-ŋ-˥˩	tsh-.-a-ng-.
^ʔĭe˥	^ʔ-ĭ-e-.-˥	ʔ-j-e-.-X
^ʔĭe˩˥	^ʔ-ĭ-e-.-˩˥	ʔ-j-e-.-H
^tsĭa˩˥	^ts-ĭ-a-.-˩˥	ts-j-æ-.-H
^tsĭɛk	^ts-ĭ-ɛ-k-.	ts-j-e-k-.
^lĭuĕn˩	^l-ĭu-ĕ-n-˩	l-w-i-n-.
^ʔĭɐn˥	^ʔ-ĭ-ɐ-n-˥	ʔ-j-o-n-X
^ʧĭək	^ʧ-ĭ-ə-k-.	tsr-.-i-k-.
^bʰɑŋ˩	^bʰ-.-ɑ-ŋ-˩	b-.-a-ng-.
^bʰɑŋ˩˥	^bʰ-.-ɑ-ŋ-˩˥	b-.-a-ng-H
^bʰi˩˥	^bʰ-.-i-.-˩˥	b-j-ij-.-H
^ɕĭaŋ˥˩	^ɕ-ĭ-a-ŋ-˥˩	sy-.-a-ng-.
^ɕĭaŋ˩˥	^ɕ-ĭ-a-ŋ-˩˥	sy-.-a-ng-H
^kʰĭwɛŋ˥˩	^kʰ-ĭw-ɛ-ŋ-˥˩	kh-jw-ie-ng-.
^bʰuk	^bʰ-.-u-k-.	b-.-uw-k-.
^gʰĭɛm˥	^gʰ-ĭ-ɛ-m-˥	g-j-e-m-X
^jĭuĕn˥	^j-ĭu-ĕ-n-˥	y-w-i-n-X
^ŋĭwɐn˩	^ŋ-ĭw-ɐ-n-˩	ng-jw-o-n-.
^tɕʰĭuŋ˥˩	^tɕʰ-ĭ-u-ŋ-˥˩	tsyh-.-uw-ng-.
^ɖʰĭɛu˥	^ɖʰ-ĭ-ɛu-.-˥	dr-j-ew-.-X
^sien˥˩	^s-i-e-n-˥˩	s-.-e-n-.
^sien˩˥	^s-i-e-n-˩˥	s-.-e-n-H
^kuɑŋ˥˩	^k-u-ɑ-ŋ-˥˩	k-w-a-ng-.
^kuɑŋ˩˥	^k-u-ɑ-ŋ-˩˥	k-w-a-ng-H
