Grapheme	Zhou	Baxter
^lĭaŋ˩	^l-ĭ-a-ŋ-˩	l-j-a-ng-.
^ʃĭək	^ʃ-ĭ-ə-k-.	sr-.-i-k-.
^ŋɑi˩˥	^ŋ-.-ɑi-.-˩˥	ng-.-aj-.-H
^ŋĭɐi˩˥	^ŋ-ĭ-ɐi-.-˩˥	ng-j-oj-.-H
^xwa˥˩	^x-w-a-.-˥˩	x-w-æ-.-.
^pʰĭwaŋ˥˩	^pʰ-ĭw-a-ŋ-˥˩	ph-j-a-ng-.
^ʧʰĭu˥˩	^ʧʰ-ĭ-u-.-˥˩	tsrh-j-u-.-.
^kəu˥	^k-.-əu-.-˥	k-.-uw-.-X
^nʑĭa˩	^nʑ-ĭ-a-.-˩	ny-.-æ-.-.
^nʑĭa˥	^nʑ-ĭ-a-.-˥	ny-.-æ-.-X
^nʑĭak	^nʑ-ĭ-a-k-.	ny-.-a-k-.
^kʰu˥	^kʰ-.-u-.-˥	kh-.-u-.-X
^bʰĭwɐm˥	^bʰ-ĭw-ɐ-m-˥	b-j-o-m-X
^mau˩	^m-.-au-.-˩	m-.-æw-.-.
^tɒp	^t-.-ɒ-p-.	t-.-o-p-.
^nʑĭĕm˥	^nʑ-ĭ-ĕ-m-˥	ny-.-i-m-X
^xuɑŋ˥˩	^x-u-ɑ-ŋ-˥˩	x-w-a-ng-.
^ʧĭaŋ˥˩	^ʧ-ĭ-a-ŋ-˥˩	tsr-j-a-ng-.
^ɣæŋ˩	^ɣ-.-æ-ŋ-˩	h-.-ea-ng-.
^ʔæŋ˥˩	^ʔ-.-æ-ŋ-˥˩	ʔ-.-ea-ng-.
^mɑk	^m-.-ɑ-k-.	m-.-a-k-.
^ɣwa˩	^ɣ-w-a-.-˩	h-w-æ-.-.
^ɣwa˩˥	^ɣ-w-a-.-˩˥	h-w-æ-.-H
^dzʰwi˩˥	^dzʰ-w-i-.-˩˥	dz-w-ij-.-H
^lɑk	^l-.-ɑ-k-.	l-.-a-k-.
^jĭɛp	^j-ĭ-ɛ-p-.	y-.-e-p-.
^bʰu˩	^bʰ-.-u-.-˩	b-.-u-.-.
^tɕĭəŋ˥˩	^tɕ-ĭ-ə-ŋ-˥˩	tsy-.-i-ng-.
^tsʰɑŋ˥	^tsʰ-.-ɑ-ŋ-˥	tsh-.-a-ng-X
^kɑi˩˥	^k-.-ɑi-.-˩˥	k-.-aj-.-H
^kɑp	^k-.-ɑ-p-.	k-.-a-p-.
^miet	^m-i-e-t-.	m-.-e-t-.
^pĭɛi˩˥	^p-ĭ-ɛi-.-˩˥	p-ji-ej-.-H
^sieu˥˩	^s-i-eu-.-˥˩	s-.-ew-.-.
^bʰuɑk	^bʰ-u-ɑ-k-.	b-.-a-k-.
^dzʰɑŋ˩	^dzʰ-.-ɑ-ŋ-˩	dz-.-a-ng-.
^dzʰɑŋ˩˥	^dzʰ-.-ɑ-ŋ-˩˥	dz-.-a-ng-H
^jĭak	^j-ĭ-a-k-.	y-.-a-k-.
^su˥˩	^s-.-u-.-˥˩	s-.-u-.-.
^xu˥	^x-.-u-.-˥	x-.-u-.-X
^ŋĭak	^ŋ-ĭ-a-k-.	ng-j-a-k-.
^tɕʰĭo˥	^tɕʰ-ĭ-o-.-˥	tsyh-.-o-.-X
^tɕʰĭo˩˥	^tɕʰ-ĭ-o-.-˩˥	tsyh-.-o-.-H
^xĭo˥˩	^x-ĭ-o-.-˥˩	x-j-o-.-.
^ŋĭu˩	^ŋ-ĭ-u-.-˩	ng-j-u-.-.
^kwɐk	^k-w-ɐ-k-.	k-w-æ-k-.
^ʔwai˥˩	^ʔ-w-ai-.-˥˩	ʔ-w-ea-.-.
^ʔwa˥˩	^ʔ-w-a-.-˥˩	ʔ-w-ae-.-.
^ʑĭwok	^ʑ-ĭw-o-k-.	dzy-.-ow-k-.
^jĭuŋ˩	^.-j-ĭu-ŋ-˩	y-.-uw-ng-.
^ɣai˥	^ɣ-.-ai-.-˥	h-.-ea-.-X
^ɣɑŋ˩	^ɣ-.-ɑ-ŋ-˩	h-.-a-ng-.
^ɣɐŋ˩	^ɣ-.-ɐ-ŋ-˩	h-.-æ-ng-.
^ɣɑŋ˩˥	^ɣ-.-ɑ-ŋ-˩˥	h-.-a-ng-H
^ɣɐŋ˩˥	^ɣ-.-ɐ-ŋ-˩˥	h-.-æ-ng-H
^ʔĭəi˩˥	^ʔ-ĭ-əi-.-˩˥	ʔ-j-ɨj-.-H
^pĭɛu˥	^p-ĭ-ɛu-.-˥	p-j-ew-.-X
^mĭɛi˩˥	^m-ĭ-ɛi-.-˩˥	m-ji-ej-.-H
^bʰɑu˩	^bʰ-.-ɑu-.-˩	b-.-aw-.-.
^pu˥	^p-.-u-.-˥	p-.-u-.-X
^kien˩˥	^k-i-e-n-˩˥	k-.-e-n-H
^ɣien˩˥	^ɣ-i-e-n-˩˥	h-.-e-n-H
^kĭwe˥˩	^k-ĭw-e-.-˥˩	k-jw-ie-.-.
^ʑi˥	^ʑ-.-i-.-˥	dzy-.-ij-.-X
^ʑi˩˥	^ʑ-.-i-.-˩˥	dzy-.-ij-.-H
^tsʰĭĕn˥˩	^tsʰ-ĭ-ĕ-n-˥˩	tsh-.-i-n-.
^tsʰĭĕn˩˥	^tsʰ-ĭ-ĕ-n-˩˥	tsh-.-i-n-H
^kau˩˥	^k-.-au-.-˩˥	k-.-æw-.-H
^kɔk	^k-.-ɔ-k-.	k-.-æw-k-.
^luk	^l-.-u-k-.	l-.-uw-k-.
^ŋĭɐn˩	^ŋ-ĭ-ɐ-n-˩	ng-j-o-n-.
^kiei˩˥	^k-i-ei-.-˩˥	k-.-ej-.-H
^tʰɑk	^tʰ-.-ɑ-k-.	th-.-a-k-.
^kĭə˩˥	^k-ĭ-ə-.-˩˥	k-.-i-.-H
^pʰĭwaŋ˩˥	^pʰ-ĭw-a-ŋ-˩˥	ph-j-a-ng-H
^xĭo˥	^x-ĭ-o-.-˥	x-j-o-.-X
^ŋiei˩˥	^ŋ-i-ei-.-˩˥	ng-.-ej-.-H
^ɕĭə˩˥	^ɕ-ĭ-ə-.-˩˥	sy-.-i-.-H
^ɕĭə˥˩	^ɕ-ĭ-ə-.-˥˩	sy-.-i-.-.
^kĭwe˥	^k-ĭw-e-.-˥	k-jw-e-.-X
^kʰĭĕt	^kʰ-ĭ-ĕ-t-.	kh-j-i-t-.
^ɣwæi˩˥	^ɣ-w-æi-.-˩˥	h-w-æj-.-H
^ŋĭo˥	^ŋ-ĭ-o-.-˥	ng-j-o-.-X
^ŋu˩˥	^ŋ-.-u-.-˩˥	ng-.-u-.-H
^kan˩˥	^k-.-a-n-˩˥	k-.-æ-n-H
^tɕĭo˥˩	^tɕ-ĭ-o-.-˥˩	tsy-.-o-.-.
^tɕĭa˥˩	^tɕ-ĭ-a-.-˥˩	tsy-.-æ-.-.
^mĭəu˩	^m-ĭ-əu-.-˩	m-j-uw-.-.
^ʔĭɐt	^ʔ-ĭ-ɐ-t-.	ʔ-j-o-t-.
^pɑŋ˩˥	^p-.-ɑ-ŋ-˩˥	p-.-a-ng-H
^kʰiem˥˩	^kʰ-i-e-m-˥˩	kh-.-e-m-.
^kɔŋ˥	^k-.-ɔ-ŋ-˥	k-.-æw-ng-X
^zĭa˩˥	^z-ĭ-a-.-˩˥	z-j-æ-.-H
^miəu˩˥	^m-i-əu-.-˩˥	m-j-iw-.-H
^kĭən˥	^k-ĭ-ə-n-˥	k-j-ɨ-n-X
^tɕĭəŋ˩˥	^tɕ-ĭ-ə-ŋ-˩˥	tsy-.-i-ng-H
^ʧĭĕm˩˥	^ʧ-ĭ-ĕ-m-˩˥	tsr-.-i-m-H
^pʰĭe˩˥	^pʰ-ĭ-e-.-˩˥	ph-ji-e-.-H
^pĭɛn˩˥	^p-ĭ-ɛ-n-˩˥	p-j-e-n-H
^nʑĭaŋ˩˥	^nʑ-ĭ-a-ŋ-˩˥	ny-.-a-ng-H
^kuk	^k-.-u-k-.	k-.-uw-k-.
^dʰəu˩˥	^dʰ-.-əu-.-˩˥	d-.-uw-.-H
^kʰĭəi˥	^kʰ-ĭ-əi-.-˥	kh-j-ɨj-.-X
^ŋĭə˩˥	^ŋ-ĭ-ə-.-˩˥	ng-.-i-.-H
^ŋĭəi˩˥	^ŋ-ĭ-əi-.-˩˥	ng-j-ɨj-.-H
^ţĭo˥˩	^ţ-ĭ-o-.-˥˩	tr-j-o-.-.
^ɖʰĭe˥	^ɖʰ-ĭ-e-.-˥	dr-j-e-.-X
^ɖʰai˥	^ɖʰ-.-ai-.-˥	dr-.-ea-.-X
^ţĭɛŋ˥˩	^ţ-ĭ-ɛ-ŋ-˥˩	tr-j-e-ng-.
^kuŋ˩˥	^k-.-u-ŋ-˩˥	k-.-uw-ng-H
^xuɑ˩˥	^x-u-ɑ-.-˩˥	x-w-a-.-H
^kuɑn˩˥	^k-u-ɑ-n-˩˥	k-w-a-n-H
^ʧæk	^ʧ-.-æ-k-.	tsr-.-ea-k-.
^kĭwəi˩˥	^k-ĭw-əi-.-˩˥	k-jw-ɨj-.-H
^mai˥	^m-.-ai-.-˥	m-.-ea-.-X
^xuɒi˥	^x-u-ɒi-.-˥	x-w-oj-.-X
^tsi˥˩	^ts-.-i-.-˥˩	ts-.-ij-.-.
^ka˥	^k-.-a-.-˥	k-.-æ-.-X
^sĭe˩˥	^s-ĭ-e-.-˩˥	s-j-e-.-H
^ɕĭaŋ˥	^ɕ-ĭ-a-ŋ-˥	sy-.-a-ng-X
^ɣien˩	^ɣ-i-e-n-˩	h-.-e-n-.
^mai˩˥	^m-.-ai-.-˩˥	m-.-ea-.-H
^dzʰĭɛn˩˥	^dzʰ-ĭ-ɛ-n-˩˥	dz-j-e-n-H
^ţi˩˥	^ţ-.-i-.-˩˥	tr-.-ij-.-H
^tɕĭĕt	^tɕ-ĭ-ĕ-t-.	tsy-.-i-t-.
^lɑi˩˥	^l-.-ɑi-.-˩˥	l-.-aj-.-H
^dzʰəŋ˩˥	^dzʰ-.-ə-ŋ-˩˥	dz-.-o-ng-H
^ʑĭɛm˩˥	^ʑ-ĭ-ɛ-m-˩˥	dzy-.-e-m-H
^kʰĭə˥	^kʰ-ĭ-ə-.-˥	kh-.-i-.-X
^ĭwɐt	^.-ĭw-ɐ-t-.	h-jw-o-t-.
^ɣuɑt	^ɣ-u-ɑ-t-.	h-w-a-t-.
^tsĭu˩˥	^ts-ĭ-u-.-˩˥	ts-j-u-.-H
^tsĭwok	^ts-ĭw-o-k-.	ts-j-ow-k-.
^kʰĭwe˥	^kʰ-ĭw-e-.-˥	kh-jw-e-.-X
^gʰĭwe˥	^gʰ-ĭw-e-.-˥	g-jw-e-.-X
^lu˩˥	^l-.-u-.-˩˥	l-.-u-.-H
^tɕʰĭa˥˩	^tɕʰ-ĭ-a-.-˥˩	tsyh-.-æ-.-.
^xĭɐn˥˩	^x-ĭ-ɐ-n-˥˩	x-j-o-n-.
^tɕĭĕn˥	^tɕ-ĭ-ĕ-n-˥	tsy-.-i-n-X
^ţĭɛp	^ţ-ĭ-ɛ-p-.	tr-j-e-p-.
^lĭɛn˥	^l-ĭ-ɛ-n-˥	l-j-e-n-X
^ɕĭu˥˩	^ɕ-ĭ-u-.-˥˩	sy-.-u-.-.
^kʰɑi˩˥	^kʰ-.-ɑi-.-˩˥	k-.-aj-.-H
^ɣat	^ɣ-.-a-t-.	h-.-æ-t-.
^ţĭwɛn˥	^ţ-ĭw-ɛ-n-˥	tr-jw-e-n-X
^ţĭwɛn˩˥	^ţ-ĭw-ɛ-n-˩˥	tr-jw-e-n-H
^sĭĕn˥˩	^s-ĭ-ĕ-n-˥˩	s-.-i-n-.
^bʰĭɛk	^bʰ-ĭ-ɛ-k-.	b-ji-e-k-.
^pĭɛk	^p-ĭ-ɛ-k-.	p-ji-e-k-.
^pʰĭɛk	^pʰ-ĭ-ɛ-k-.	ph-ji-e-k-.
^bʰĭɛn˥	^bʰ-ĭ-ɛ-n-˥	b-j-e-n-X
^bʰæn˩˥	^bʰ-.-æ-n-˩˥	b-.-ea-n-H
^zĭə˩	^z-ĭ-ə-.-˩	z-.-i-.-.
^gʰĭən˥	^gʰ-ĭ-ə-n-˥	g-j-ɨ-n-X
^gʰĭən˩˥	^gʰ-ĭ-ə-n-˩˥	g-j-ɨ-n-H
^miei˩	^m-i-ei-.-˩	m-.-ej-.-.
^ţwi˥˩	^ţ-w-i-.-˥˩	tr-w-ij-.-.
^suŋ˩˥	^s-.-u-ŋ-˩˥	s-.-uw-ng-H
^ŋĭɐk	^ŋ-ĭ-ɐ-k-.	ng-j-æ-k-.
^ɖʰĭuk	^ɖʰ-ĭ-u-k-.	dr-j-uw-k-.
^tʰuŋ˥˩	^tʰ-.-u-ŋ-˥˩	th-.-uw-ng-.
^suk	^s-.-u-k-.	s-.-uw-k-.
^pĭək	^p-ĭ-ə-k-.	p-.-i-k-.
^zwi˩˥	^z-w-i-.-˩˥	z-w-ij-.-H
^ŋĭu˩˥	^ŋ-ĭ-u-.-˩˥	ng-j-u-.-H
^ĭuən˩˥	^.-ĭu-ə-n-˩˥	h-j-u-n-H
^kuɑ˩˥	^k-u-ɑ-.-˩˥	k-w-a-.-H
^dʰɑu˥	^dʰ-.-ɑu-.-˥	d-.-aw-.-X
^tʰɑt	^tʰ-.-ɑ-t-.	th-.-a-t-.
^dʰɑt	^dʰ-.-ɑ-t-.	d-.-a-t-.
^tsɑu˥˩	^ts-.-ɑu-.-˥˩	ts-.-aw-.-.
^tsĭuĕn˥˩	^ts-ĭu-ĕ-n-˥˩	ts-w-i-n-.
^tsʰĭɛn˥˩	^tsʰ-ĭ-ɛ-n-˥˩	tsh-j-e-n-.
^jwi˩	^j-w-i-.-˩	y-w-ij-.-.
^jwi˩˥	^j-w-i-.-˩˥	y-w-ij-.-H
^bʰĭe˩˥	^bʰ-ĭ-e-.-˩˥	b-ji-e-.-H
^ɣwan˩	^ɣ-w-a-n-˩	h-w-æ-n-.
^zĭwɛn˩	^z-ĭw-ɛ-n-˩	z-jw-e-n-.
^pien˥˩	^p-i-e-n-˥˩	p-.-e-n-.
^jĭa˩	^j-ĭ-a-.-˩	y-.-æ-.-.
^zĭa˩	^z-ĭ-a-.-˩	z-j-æ-.-.
^jĭɛŋ˥	^j-ĭ-ɛ-ŋ-˥	y-.-e-ng-X
^kʰĭɐk	^kʰ-ĭ-ɐ-k-.	kh-j-æ-k-.
^bʰu˥	^bʰ-.-u-.-˥	b-.-uw-.-X
^bʰəu˥	^bʰ-.-əu-.-˥	b-.-?-.-X
^kuɑk	^k-u-ɑ-k-.	k-w-a-k-.
^tu˥˩	^t-.-u-.-˥˩	t-.-u-.-.
^lĭĕn˩	^l-ĭ-ĕ-n-˩	l-.-i-n-.
^jĭəu˥	^j-ĭ-əu-.-˥	y-.-uw-.-X
^ɣɑm˩	^ɣ-.-ɑ-m-˩	h-.-a-m-.
^kʰuok	^kʰ-u-o-k-.	kh-.-ow-k-.
^tswi˩˥	^ts-w-i-.-˩˥	ts-w-ij-.-H
^tsʰɒi˥	^tsʰ-.-ɒi-.-˥	tsh-.-oj-.-X
^ɕĭɛk	^ɕ-ĭ-ɛ-k-.	sy-.-e-k-.
^ʑĭo˥	^ʑ-ĭ-o-.-˥	dzy-.-o-.-X
^ŋĭĕn˩	^ŋ-ĭ-ĕ-n-˩	ng-.-i-n-.
^ɣam˩	^ɣ-.-a-m-˩	h-.-æ-m-.
^jĭwɛi˩˥	^j-ĭw-ɛi-.-˩˥	y-w-ej-.-H
^dʰuɑi˩˥	^dʰ-u-ɑi-.-˩˥	d-w-aj-.-H
^dʒʰĭo˩	^dʒʰ-.-ĭo-.-˩	dzr-j-o-.-.
^kĭĕm˥	^k-ĭ-ĕ-m-˥	k-.-i-m-X
^tɕĭwoŋ˥˩	^tɕ-ĭw-o-ŋ-˥˩	tsy-.-ow-ng-.
^kʰɒi˥˩	^kʰ-.-ɒi-.-˥˩	kh-.-oj-.-.
^ɣæn˩	^ɣ-.-æ-n-˩	h-.-ea-n-.
^kʰiwek	^kʰ-iw-e-k-.	kh-w-e-k-.
^kwan˥˩	^k-w-a-n-˥˩	k-w-æ-n-.
^bʰĭwaŋ˩˥	^bʰ-ĭw-a-ŋ-˩˥	b-j-a-ng-H
^ʧĭo˥	^ʧ-ĭ-o-.-˥	tsr-j-o-.-X
^pĭe˥˩	^p-ĭ-e-.-˥˩	p-j-e-.-.
^bʰĭu˩˥	^bʰ-ĭ-u-.-˩˥	b-j-u-.-H
^mɐk	^m-.-ɐ-k-.	m-.-æ-k-.
^ɣɔŋ˩	^ɣ-.-ɔ-ŋ-˩	h-.-æw-ng-.
^kɔŋ˩˥	^k-.-ɔ-ŋ-˩˥	k-.-æw-ng-H
^ɣæn˥	^ɣ-.-æ-n-˥	h-.-ea-n-X
^ţĭək	^ţ-ĭ-ə-k-.	tr-.-i-k-.
^ɖʰĭo˩	^ɖʰ-ĭ-o-.-˩	dr-j-o-.-.
^ɖʰĭo˩˥	^ɖʰ-ĭ-o-.-˩˥	dr-j-o-.-H
^lĭəŋ˩	^l-ĭ-ə-ŋ-˩	l-.-i-ng-.
^ɣɐm˩˥	^ɣ-.-ɐ-m-˩˥	h-.-ea-m-H
^dʰuɒi˩˥	^dʰ-u-ɒi-.-˩˥	d-w-oj-.-H
^zĭwe˩	^z-ĭw-e-.-˩	z-jw-e-.-.
^tʰuɑ˥	^tʰ-u-ɑ-.-˥	th-w-a-.-X
^ʔai˩˥	^ʔ-.-ai-.-˩˥	ʔ-.-ea-.-H
^xĭɛm˥	^x-ĭ-ɛ-m-˥	x-j-æ-m-X
^ʔĭən˥	^ʔ-ĭ-ə-n-˥	ʔ-j-ɨ-n-X
^ʔĭən˩˥	^ʔ-ĭ-ə-n-˩˥	ʔ-j-ɨ-n-H
^lĭwoŋ˥	^l-ĭw-o-ŋ-˥	l-j-ow-ng-X
^tɕwi˥˩	^tɕ-w-i-.-˥˩	tsy-w-ij-.-.
^ʃɔŋ˥˩	^ʃ-.-ɔ-ŋ-˥˩	sr-.-æw-ng-.
^dzʰɒp	^dzʰ-.-ɒ-p-.	dz-.-o-p-.
^lĭe˩	^l-ĭ-e-.-˩	l-j-e-.-.
^lĭe˩˥	^l-ĭ-e-.-˩˥	l-j-e-.-H
^sĭwɛt	^s-ĭw-ɛ-t-.	s-jw-e-t-.
^pa˩˥	^p-.-a-.-˩˥	p-.-æ-.-H
^pĭwəi˥˩	^p-ĭw-əi-.-˥˩	p-j-ɨj-.-.
^mĭɛn˩˥	^m-ĭ-ɛ-n-˩˥	m-ji-e-n-H
^kæk	^k-.-æ-k-.	k-.-ea-k-.
^ĭwəi˩	^.-ĭw-əi-.-˩	h-jw-ɨj-.-.
^kʰĭwɛŋ˥	^kʰ-ĭw-ɛ-ŋ-˥	kh-jwi-e-ng-X
^ɣɔŋ˥	^ɣ-.-ɔ-ŋ-˥	h-.-æw-ng-X
^dʑʰĭuĕn˩˥	^dʑʰ-ĭu-ĕ-n-˩˥	zy-w-i-n-H
^sĭu˥˩	^s-ĭ-u-.-˥˩	s-j-u-.-.
^zĭwoŋ˩˥	^z-ĭw-o-ŋ-˩˥	z-j-ow-ng-H
^bʰĭĕn˩	^bʰ-ĭ-ĕ-n-˩	b-j-i-n-.
^ŋĭwɐn˩˥	^ŋ-ĭw-ɐ-n-˩˥	ng-jw-o-n-H
^lwi˩˥	^l-w-i-.-˩˥	l-w-ij-.-H
^jĭə˩˥	^.-j-ĭə-.-˩˥	?-?-?-.-H
^dʑʰĭək	^dʑʰ-ĭ-ə-k-.	zy-.-i-k-.
^ʔĭĕm˥	^ʔ-ĭ-ĕ-m-˥	ʔ-.-i-m-X
^ʔĭĕm˩˥	^ʔ-ĭ-ĕ-m-˩˥	ʔ-.-i-m-H
^jĭaŋ˥	^j-ĭ-a-ŋ-˥	y-.-a-ng-X
^jĭaŋ˩˥	^j-ĭ-a-ŋ-˩˥	y-.-a-ng-H
^xĭaŋ˥˩	^x-ĭ-a-ŋ-˥˩	x-j-a-ng-.
^xieŋ˥˩	^x-i-e-ŋ-˥˩	x-.-e-ng-.
^bʰĭuŋ˩	^bʰ-ĭ-u-ŋ-˩	b-j-uw-ng-.
^bʰĭəŋ˩	^bʰ-ĭ-ə-ŋ-˩	b-.-i-ng-.
^kʰĭu˥˩	^kʰ-ĭ-u-.-˥˩	kh-j-u-.-.
^kʰĭu˩˥	^kʰ-ĭ-u-.-˩˥	kh-j-u-.-H
^sĭwe˥	^s-ĭw-e-.-˥	s-jw-e-.-X
^kĭwəi˥	^k-ĭw-əi-.-˥	k-jw-ɨj-.-X
^lu˥	^l-.-u-.-˥	l-.-u-.-X
^kwæn˩˥	^k-w-æ-n-˩˥	k-w-ea-n-H
^kĭəu˥˩	^k-ĭ-əu-.-˥˩	k-j-uw-.-.
^ɖʰĭĕm˩˥	^ɖʰ-ĭ-ĕ-m-˩˥	dr-.-i-m-H
^ŋan˩˥	^ŋ-.-a-n-˩˥	ng-.-æ-n-H
^ʔiei˥˩	^ʔ-i-ei-.-˥˩	ʔ-.-.-ej-.
^jĭɛm˩	^j-ĭ-ɛ-m-˩	y-.-e-m-.
^jĭɛm˩˥	^j-ĭ-ɛ-m-˩˥	y-.-e-m-H
^mæk	^m-.-æ-k-.	m-.-ɛ-k-.
^ɣuɑŋ˩	^ɣ-u-ɑ-ŋ-˩	h-w-a-ng-.
^ɣæt	^ɣ-.-æ-t-.	h-.-ɛ-t-.
^tɑŋ˥	^t-.-ɑ-ŋ-˥	t-.-a-ng-X
^tieŋ˥	^t-i-e-ŋ-˥	t-.-e-ng-X
^	NULL	NULL
