ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
156	0 shang	縷 (shang)	Baxter	l jw	78	lĭuɑ˩	?	l jw
157	0 shang	興 (shang)	Zhou	x ĭ	79	xĭĕn˥ / xĭe˥	?	x ĭ
158	0 shang	興 (shang)	Baxter	x j	79	xĭĕn˥ / xĭe˥	?	x j
159	0 shang	花 (shang)	Zhou	x w	80	xwai˥	?	x w
160	0 shang	花 (shang)	Baxter	x w	80	xwai˥	?	x w
161	0 shang	芻 (shang)	Zhou	ʧʰ ĭ	81	ʧʰĭu˩˥	?	ʧʰ ĭ
162	0 shang	芻 (shang)	Baxter	!? j	81	ʧʰĭu˩˥	?	!? j
163	0 shang	苻 (shang)	Zhou	bʰ ĭ	82	bʰĭɛu˥	?	bʰ ĭ
164	0 shang	苻 (shang)	Baxter	b j	82	bʰĭɛu˥	?	b j
165	0 shang	虞 (shang)	Zhou	ŋ ĭw	83	ŋĭwɐn˥ / ŋĭu˥	?	ŋ ĭw
166	0 shang	虞 (shang)	Baxter	ng jw	83	ŋĭwɐn˥ / ŋĭu˥	?	ng jw
167	0 shang	蜀 (shang)	Zhou	ʑ ĭw	84	ʑĭwoŋ˩	?	ʑ ĭw
168	0 shang	蜀 (shang)	Baxter	zy w	84	ʑĭwoŋ˩	?	zy w
169	0 shang	豬 (shang)	Zhou	ţ .	85	ţi˥	?	ţ .
170	0 shang	豬 (shang)	Baxter	tr .	85	ţi˥	?	tr .
171	0 shang	賴 (shang)	Zhou	l .	86	lɐi˩	?	l .
172	0 shang	賴 (shang)	Baxter	l .	86	lɐi˩	?	l .
173	0 shang	起 (shang)	Zhou	kʰ ĭ	87	kʰĭɛu˥˩ / kʰĭwɐp / kʰæn˥	?	kʰ ĭ
174	0 shang	起 (shang)	Baxter	kh j	87	kʰĭɛu˥˩ / kʰĭwɐp / kʰæn˥	?	kh j
175	0 shang	跪 (shang)	Zhou	gʰ w	88	gʰwæn˩	?	gʰ w
176	0 shang	跪 (shang)	Baxter	g w	88	gʰwæn˩	?	g w
177	0 shang	速 (shang)	Zhou	s .	89	səu˥˩	?	s .
178	0 shang	速 (shang)	Baxter	s .	89	səu˥˩	?	s .
179	0 shang	遵 (shang)	Zhou	ts ĭw	90	tsĭwe˥˩ / tswi˥	?	ts ĭw
180	0 shang	遵 (shang)	Baxter	ts w	90	tsĭwe˥˩ / tswi˥	?	ts w
181	0 shang	邊 (shang)	Zhou	p i	91	piei˥˩ / puŋ˥	?	p i
182	0 shang	邊 (shang)	Baxter	p j	91	piei˥˩ / puŋ˥	?	p j
183	0 shang	鄒 (shang)	Zhou	ʧ w	92	ʧwæt	?	ʧ w
184	0 shang	鄒 (shang)	Baxter	!? w	92	ʧwæt	?	!? w
185	0 shang	醉 (shang)	Zhou	ts w	93	tswi˥˩	?	ts w
186	0 shang	醉 (shang)	Baxter	ts w	93	tswi˥˩	?	ts w
187	0 shang	醋 (shang)	Zhou	tsʰ ĭu	94	tsʰĭuɑ˥˩	?	tsʰ ĭu
188	0 shang	醋 (shang)	Baxter	ts jw	94	tsʰĭuɑ˥˩	?	ts jw
189	0 shang	隨 (shang)	Zhou	z ĭw	95	zĭwe˥	?	z ĭw
190	0 shang	隨 (shang)	Baxter	z jw	95	zĭwe˥	?	z jw
191	0 shang	雛 (shang)	Zhou	d ʒʰ	96	dʒʰwan˥	?	d ʒʰ
192	0 shang	雛 (shang)	Baxter	!? w	96	dʒʰwan˥	?	!? w
193	0 shang	雲 (shang)	Zhou	ĭ w	97	ĭwɐn˥	?	ĭ w
194	0 shang	雲 (shang)	Baxter	j w	97	ĭwɐn˥	?	j w
195	0 shang	青 (shang)	Zhou	tsʰ i	98	tsʰiem˥	?	tsʰ i
196	0 shang	青 (shang)	Baxter	tsh j	98	tsʰiem˥	?	tsh j
197	0 shang	韋 (shang)	Zhou	ĭ w	99	ĭwe˥	?	ĭ w
198	0 shang	韋 (shang)	Baxter	j w	99	ĭwe˥	?	j w
199	0 shang	馳 (shang)	Zhou	ɖʰ ĭ w e ˩˥	100	ɖʰĭwe˩˥	?	ɖʰ ĭ w e ˩˥
200	0 shang	馳 (shang)	Baxter	?weH	100	ɖʰĭwe˩˥	?	?weH
201	0 shang	驅 (shang)	Zhou	kʰ ĭ u k	101	kʰĭuk / kʰĭu˥	?	kʰ ĭ u k
202	0 shang	驅 (shang)	Baxter	?????	101	kʰĭuk / kʰĭu˥	?	?????
203	0 shang	鶵 (shang)	Zhou	dʒʰ ĭ u ˥	102	dʒʰĭu˥	?	dʒʰ ĭ u ˥
204	0 shang	鶵 (shang)	Baxter	?????	102	dʒʰĭu˥	?	?????
205	0 shang	鷖 (shang)	Zhou	ʔ æ ŋ ˩˥	103	ʔæŋ˩˥	?	ʔ æ ŋ ˩˥
206	0 shang	鷖 (shang)	Baxter	?????	103	ʔæŋ˩˥	?	?????
207	0 shang	𩛠 (shang)	Zhou	ts ĭu	104	tsĭuɑ˥	?	ts ĭu
